房源名称,房型面积,户型,朝向,地区,具体地址,照片地址,链接地址,月租价格
整租·钰龙天下二期,40.00㎡,1室1厅1卫,南,岳麓,观沙岭-钰龙天下二期,"https://image1.ljcdn.com/110000-inspection/pc1_Akb2mxnf2.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1690998194600673280.html,1400 元/月
合租·瑞都华庭,10.00㎡,4室2厅2卫,西北,雨花,韶山南路-瑞都华庭,https://image1.ljcdn.com/rent-user-avatar/ef53098f-42b3-493e-a027-6a504bfe714f.250x182.jpg,https://cs.lianjia.com/zufang/CS2872448537386827776.html,700 元/月
整租·鸿运凯旋国际,83.00㎡,2室1厅1卫,南,芙蓉,火车站-鸿运凯旋国际,"https://image1.ljcdn.com/110000-inspection/pc1_BYdqw9h8H.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1686961680908550144.html,2600 元/月
合租·四季美景水木轩,24.00㎡,5室0厅3卫,南,开福,四方坪-四季美景水木轩,https://image1.ljcdn.com/rent-user-avatar/57533606-14b8-42fc-8792-31f99f3dcd92.250x182.jpg,https://cs.lianjia.com/zufang/CS2591233558283042816.html,1038 元/月
整租·复地崑玉府,90.00㎡,2室2厅1卫,南,开福,伍家岭-复地崑玉府,"https://image1.ljcdn.com/110000-inspection/pc1_OVAwa3wmi_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692423534124466176.html,4500 元/月
合租·通用时代国际社区,20.00㎡,4室1厅1卫,南,天心,金盆岭-通用时代国际社区,https://image1.ljcdn.com/rent-user-avatar/2ce7c084-bb64-48be-90e3-38e44e4809e6.250x182.jpg,https://cs.lianjia.com/zufang/CS1692026448493150208.html,620 元/月
整租·佳兆业云顶梅溪湖,40.00㎡,1室1厅1卫,南,岳麓,梅溪湖南岸-佳兆业云顶梅溪湖,"https://image1.ljcdn.com/110000-inspection/pc1_IGdUd3POW.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692443664648765440.html,1700 元/月
整租·富利大楼,23.00㎡,1室0厅1卫,东南,芙蓉,浏城桥-富利大楼,https://image1.ljcdn.com/rent-user-avatar/dacc48ca-cecd-4f1b-bbd2-361e992ee113.250x182.jpg,https://cs.lianjia.com/zufang/CS1629069014204416000.html,1109 元/月
整租·中国铁建梅溪青秀,117.00㎡,4室2厅1卫,南,岳麓,梅溪湖北岸-中国铁建梅溪青秀,"https://image1.ljcdn.com/110000-inspection/pc1_RdR8heh1c.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1570315586418769920.html,2900 元/月
整租·下河街商贸城,22.00㎡,1室1厅1卫,东南,天心,五一广场-下河街商贸城,https://image1.ljcdn.com/rent-user-avatar/b57bd1bd-e9a6-45f4-8651-5cc01065fa0c.250x182.jpg,https://cs.lianjia.com/zufang/CS1595283884579225600.html,1249 元/月
整租·方略90公馆,42.00㎡,1室1厅1卫,南,长沙县,泉塘-方略90公馆,"https://image1.ljcdn.com/110000-inspection/pc1_mlYZ7vamm.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1638785551630860288.html,1300 元/月
整租·和泓梅溪四季,126.99㎡,4室2厅2卫,南,岳麓,梅溪湖北岸-和泓梅溪四季,"https://image1.ljcdn.com/110000-inspection/pc1_axsKiXpW9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1691661131480825856.html,3300 元/月
整租·合能枫丹丽舍,57.00㎡,1室1厅1卫,南,雨花,万家丽南路-合能枫丹丽舍,"https://image1.ljcdn.com/110000-inspection/pc1_1ZS9s8VBL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1691687745186955264.html,1900 元/月
合租·中惠锦堂,15.00㎡,5室1厅3卫,南,芙蓉,尚东-中惠锦堂,https://image1.ljcdn.com/rent-user-avatar/249ae788-e821-4ed7-82d6-2fa3669edd17.250x182.jpg,https://cs.lianjia.com/zufang/CS1578295055670575104.html,758 元/月
整租·工贸学校宿舍楼,65.00㎡,2室1厅1卫,南,雨花,树木岭-工贸学校宿舍楼,"https://image1.ljcdn.com/110000-inspection/pc1_iNEjnX73o.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692466761372270592.html,1300 元/月
整租·佳兆业云顶梅溪湖,40.00㎡,1室1厅1卫,南,岳麓,梅溪湖南岸-佳兆业云顶梅溪湖,"https://image1.ljcdn.com/110000-inspection/pc1_wZCVT06Zq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1668135776791035904.html,1800 元/月
整租·金茂梅溪湖,92.38㎡,3室2厅1卫,南,岳麓,梅溪湖南岸-金茂梅溪湖,"https://image1.ljcdn.com/110000-inspection/pc1_BEIu59Id0.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1669215530973659136.html,2800 元/月
合租·通用时代国际社区,18.00㎡,4室1厅1卫,南,天心,金盆岭-通用时代国际社区,https://image1.ljcdn.com/rent-user-avatar/4c49cb2a-349c-4eae-9c9e-7b1e05290b07.250x182.jpg,https://cs.lianjia.com/zufang/CS1691289685768273920.html,800 元/月
整租·中国铁建梅溪青秀,100.00㎡,3室2厅1卫,南,岳麓,梅溪湖北岸-中国铁建梅溪青秀,"https://image1.ljcdn.com/110000-inspection/pc1_oNRSRY7dE.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1672955551484477440.html,3500 元/月
合租·左岸右岸,30.00㎡,4室1厅2卫,南,雨花,高桥-左岸右岸,https://image1.ljcdn.com/rent-user-avatar/516801a8-db39-431c-9da3-091489def060.250x182.jpg,https://cs.lianjia.com/zufang/CS1677261884027305984.html,1100 元/月
整租·恒大雅苑,90.00㎡,3室2厅1卫,南,开福,广电-恒大雅苑,"https://image1.ljcdn.com/110000-inspection/0ea0ba9b-9be6-4fb9-8b94-4034aa5bd371.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1620434909036281856.html,2300 元/月
合租·世方水岸,19.00㎡,5室0厅3卫,南,开福,四方坪-世方水岸,https://image1.ljcdn.com/rent-user-avatar/48f9bf02-e77d-4988-991a-a94585557af2.250x182.jpg,https://cs.lianjia.com/zufang/CS2789973757601783808.html,738 元/月
整租·壹号公馆,40.00㎡,1室0厅1卫,南,芙蓉,松桂园-壹号公馆,"https://image1.ljcdn.com/110000-inspection/44dcc2babf6b67732a03eeffde6d7119-056.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1603347830934601728.html,2600 元/月
整租·华润翡翠府,38.00㎡,1室1厅1卫,南,雨花,韶山南路-华润翡翠府,https://image1.ljcdn.com/rent-user-avatar/cd053886-9212-49ad-b69a-d9c63e16906d.250x182.jpg,https://cs.lianjia.com/zufang/CS1691029122643394560.html,1573 元/月
整租·长燃新奥佳园,133.00㎡,3室2厅2卫,南北,望城,金星北-长燃新奥佳园,"https://image1.ljcdn.com/110000-inspection/pc1_JLvqSwAdn.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692758708582350848.html,2100 元/月
合租·锦湘国际星城三期,15.00㎡,5室1厅2卫,西北,雨花,尚东-锦湘国际星城三期,https://image1.ljcdn.com/rent-user-avatar/592c1c88-6730-4337-b19f-f0bdd807099c.250x182.jpg,https://cs.lianjia.com/zufang/CS2569575475748290560.html,800 元/月
整租·中国铁建梅溪青秀,93.00㎡,3室2厅1卫,南北,岳麓,梅溪湖北岸-中国铁建梅溪青秀,"https://image1.ljcdn.com/110000-inspection/pc1_8HW2W083r_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1641396339000475648.html,3000 元/月
合租·中国铁建梅溪青秀,18.00㎡,5室0厅3卫,南,岳麓,梅溪湖北岸-中国铁建梅溪青秀,https://image1.ljcdn.com/rent-user-avatar/7b01f993-2f73-4ac9-bbb0-00c507346a2f.250x182.jpg,https://cs.lianjia.com/zufang/CS1682242891839176704.html,607 元/月
整租·长燃新奥佳园,133.00㎡,3室2厅2卫,南北,望城,金星北-长燃新奥佳园,"https://image1.ljcdn.com/110000-inspection/pc1_JLvqSwAdn.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692758708582350848.html,2100 元/月
整租·东方新世界,57.00㎡,1室1厅1卫,东南,雨花,左家塘-东方新世界,https://image1.ljcdn.com/rent-user-avatar/29ddd716-a226-4f00-b67c-0e16d5ced431.250x182.jpg,https://cs.lianjia.com/zufang/CS2905151686467125248.html,1658 元/月
整租·长沙雅居乐新地,56.00㎡,2室1厅1卫,南北,长沙县,汽车东站-长沙雅居乐新地,"https://image1.ljcdn.com/110000-inspection/pc1_R0WP4Nwer.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1684824326353715200.html,1800 元/月
合租·世纪城聚江苑,22.00㎡,5室0厅3卫,东南,开福,湘江世纪城-世纪城聚江苑,https://image1.ljcdn.com/rent-user-avatar/44763f70-4a11-4198-a4a2-3d3c85148137.250x182.jpg,https://cs.lianjia.com/zufang/CS2905026770749636608.html,699 元/月
整租·阳明山庄,170.00㎡,5室2厅2卫,南,岳麓,麓谷东-阳明山庄,"https://image1.ljcdn.com/110000-inspection/pc1_TJUIRDPfl_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1667428303675326464.html,4100 元/月
整租·三湘小区,28.00㎡,1室1厅1卫,东南,雨花,韶山南路-三湘小区,https://image1.ljcdn.com/rent-user-avatar/c17d9b77-e71e-47f8-a9a9-2790337894cd.250x182.jpg,https://cs.lianjia.com/zufang/CS1659119242617815040.html,1058 元/月
整租·湘水熙园,113.00㎡,4室2厅2卫,南北,天心,省政府-湘水熙园,"https://image1.ljcdn.com/110000-inspection/pc1_ru79C1C3k.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1646436196647174144.html,3500 元/月
整租·雨花大厦,28.00㎡,1室1厅1卫,东南,雨花,东塘-雨花大厦,https://image1.ljcdn.com/rent-user-avatar/08e77d5c-a34a-475f-a76a-fe19975f9c6e.250x182.jpg,https://cs.lianjia.com/zufang/CS1635553255645773824.html,1259 元/月
整租·东门壹号,140.49㎡,3室2厅2卫,南,芙蓉,马王堆-东门壹号,"https://image1.ljcdn.com/110000-inspection/pc1_T1YRvXf9a_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2702167451856011264.html,3500 元/月
独栋·泊寓,35.00-36.00㎡,1室0厅1卫,24间在租,,,https://image1.ljcdn.com/rent-user-avatar/7ba51ba0-7075-4fa0-9565-066eccbf49b1.250x182.jpg,https://cs.lianjia.com/apartment/8123.html,1350 元/月
整租·书香名邸,153.00㎡,5室0厅0卫,南,雨花,左家塘-书香名邸,"https://image1.ljcdn.com/110000-inspection/pc1_10amr2Cdj.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1602613019542552576.html,5500 元/月
合租·四季美景水木轩,23.00㎡,5室0厅2卫,南,开福,四方坪-四季美景水木轩,https://image1.ljcdn.com/rent-user-avatar/55578a49-124c-434a-9b6b-2075332bcd55.250x182.jpg,https://cs.lianjia.com/zufang/CS2619335112722227200.html,788 元/月
整租·福乐名园,220.00㎡,1室1厅1卫,南,雨花,左家塘-福乐名园,"https://image1.ljcdn.com/110000-inspection/pc1_Zl6xjAktI.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1589271239409532928.html,6500 元/月
整租·金岸教师村,133.49㎡,3室2厅2卫,南北,长沙县,开元路-金岸教师村,"https://image1.ljcdn.com/110000-inspection/9ed11faf-3d06-4181-b07a-e5e024e2661d_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1591296330167222272.html,1200 元/月
整租·德政园怡心苑,200.00㎡,4室2厅2卫,南,芙蓉,德政园-德政园怡心苑,"https://image1.ljcdn.com/110000-inspection/pc1_xmbTofcP6.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1673193081668632576.html,3000 元/月
整租·佳程c+广场,42.00㎡,1室0厅1卫,南,天心,东塘-佳程c+广场,https://image1.ljcdn.com/rent-user-avatar/02b6fb59-a760-498f-a66c-a2f64e969252.250x182.jpg,https://cs.lianjia.com/zufang/CS1638394154704699392.html,2178 元/月
整租·丽发新城,119.00㎡,3室2厅2卫,南,雨花,跳马-丽发新城,"https://image1.ljcdn.com/110000-inspection/pc1_YkTAUymJa.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1690645104231972864.html,2700 元/月
整租·废旧物资市场宿舍,159.00㎡,3室2厅2卫,南,望城,望城区-废旧物资市场宿舍,"https://image1.ljcdn.com/110000-inspection/pc1_YSbXQeqrf_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1636240763438235648.html,1400 元/月
整租·恒大华府,54.00㎡,1室1厅1卫,南北,岳麓,市政府-恒大华府,"https://image1.ljcdn.com/110000-inspection/pc1_JYzJLigUV.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692033367043735552.html,1800 元/月
整租·佳程c+广场,45.00㎡,1室1厅1卫,南,天心,东塘-佳程c+广场,https://image1.ljcdn.com/rent-user-avatar/b0516d48-1d38-4872-8960-2a47a7ce9065.250x182.jpg,https://cs.lianjia.com/zufang/CS1645643852138151936.html,1918 元/月
整租·拿铁空间,35.00㎡,1室1厅1卫,南,雨花,雨花亭-拿铁空间,"https://image1.ljcdn.com/110000-inspection/pc1_4BjO9pXwn.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1690597466803535872.html,1650 元/月
合租·丽景新贵,20.00㎡,5室1厅2卫,南,芙蓉,晚报-丽景新贵,https://image1.ljcdn.com/rent-user-avatar/26fdec36-8bad-42b3-8265-ea1862d1d1f6.250x182.jpg,https://cs.lianjia.com/zufang/CS1687014617236111360.html,680 元/月
整租·香槟小镇,89.50㎡,2室2厅1卫,南,长沙县,开元路-香槟小镇,"https://image1.ljcdn.com/110000-inspection/pc1_XeBXtvBzL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1689834639729885184.html,1800 元/月
合租·世嘉国际华城二期,23.00㎡,5室1厅1卫,南,芙蓉,芙蓉区政府-世嘉国际华城二期,https://image1.ljcdn.com/rent-user-avatar/031d4b3a-63bd-4304-b032-218b3f08f913.250x182.jpg,https://cs.lianjia.com/zufang/CS1686965018249134080.html,740 元/月
整租·乾城,90.00㎡,3室2厅1卫,东南,天心,黄土岭-乾城,"https://image1.ljcdn.com/110000-inspection/pc1_Ntmn62tkP.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692180177435492352.html,2700 元/月
整租·天心阁社区,35.00㎡,1室1厅1卫,东南,天心,书院路-天心阁社区,https://image1.ljcdn.com/rent-user-avatar/ee408e79-f065-4f54-9069-cf8cda9a1e9f.250x182.jpg,https://cs.lianjia.com/zufang/CS1692733111479042048.html,1006 元/月
整租·佳俊万家府,100.00㎡,3室2厅2卫,南北,长沙县,中南汽车世界-佳俊万家府,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1603301060296835072.html,1800 元/月
合租·湘府邻伴,15.00㎡,4室1厅1卫,东南,天心,德思勤-湘府邻伴,https://image1.ljcdn.com/rent-user-avatar/a5d4f3b2-7990-4fa2-88a1-aa6ebabf544c.250x182.jpg,https://cs.lianjia.com/zufang/CS2802032768669204480.html,550 元/月
整租·乐尚城,50.00㎡,1室1厅1卫,北,雨花,树木岭-乐尚城,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1651142005457158144.html,1000 元/月
整租·天心阁社区,35.00㎡,1室1厅1卫,东南,天心,书院路-天心阁社区,https://image1.ljcdn.com/rent-user-avatar/ee408e79-f065-4f54-9069-cf8cda9a1e9f.250x182.jpg,https://cs.lianjia.com/zufang/CS1692733111479042048.html,1006 元/月
整租·润和国际广场,134.00㎡,1室1厅1卫,南,开福,福元西路-润和国际广场,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1655804531730022400.html,4000 元/月
合租·金霞小区,15.00㎡,5室1厅2卫,南,开福,开福区政府-金霞小区,https://image1.ljcdn.com/rent-user-avatar/7ddbfbbf-d651-42ea-839e-c17e63341348.250x182.jpg,https://cs.lianjia.com/zufang/CS1585957130567942144.html,650 元/月
整租·几米空间,36.00㎡,1室0厅1卫,南,雨花,赤岗冲-几米空间,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1673280733046636544.html,1300 元/月
